timestamp,task,event,priority,response_time,execution_time,deadline,result
1025,Sensor_Task,QUEUE_SEND_SENSOR_DATA,3,0,0,100,INFO
1034,Sensor_Task,FINISH,3,25,9,100,PASS
1035,Fault_Injector_Task,CONTEXT_SWITCH,2,0,0,500,INFO
1035,Fault_Injector_Task,START,2,35,0,500,RUNNING
1050,Control_Task,READY,4,0,0,50,INFO
1050,Communication_Task,READY,2,0,0,150,INFO
1050,Fault_Injector_Task,PREEMPTED,2,0,0,500,INFO
1050,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
1050,Control_Task,START,4,0,0,50,RUNNING
1050,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
1064,Control_Task,FINISH,4,0,14,50,PASS
1065,Communication_Task,CONTEXT_SWITCH,2,0,0,150,INFO
1065,Communication_Task,START,2,15,0,150,RUNNING
1079,Communication_Task,FINISH,2,15,14,150,PASS
1080,Fault_Injector_Task,CONTEXT_SWITCH,2,0,0,500,INFO
1084,Fault_Injector_Task,FINISH,2,35,49,500,PASS
1085,Logger_Task,CONTEXT_SWITCH,1,0,0,200,INFO
1085,Logger_Task,START,1,85,0,200,RUNNING
1085,Logger_Task,MUTEX_LOCK_LOG_BUFFER,1,0,0,200,INFO
1085,Logger_Task,LOGGER_WRITE,1,0,0,200,INFO
1100,Control_Task,READY,4,0,0,50,INFO
1100,Deadline_Monitor_Task,READY,4,0,0,100,INFO
1100,Sensor_Task,READY,3,0,0,100,INFO
1100,Logger_Task,PREEMPTED,1,0,0,200,INFO
1100,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
1100,Control_Task,START,4,0,0,50,RUNNING
1100,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
1114,Control_Task,FINISH,4,0,14,50,PASS
1115,Deadline_Monitor_Task,CONTEXT_SWITCH,4,0,0,100,INFO
1115,Deadline_Monitor_Task,START,4,15,0,100,RUNNING
1124,Deadline_Monitor_Task,FINISH,4,15,9,100,PASS
1125,Sensor_Task,CONTEXT_SWITCH,3,0,0,100,INFO
1125,Sensor_Task,START,3,25,0,100,RUNNING
1125,Sensor_Task,QUEUE_SEND_SENSOR_DATA,3,0,0,100,INFO
1134,Sensor_Task,FINISH,3,25,9,100,PASS
